Database,table,variable,modality_code,label
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,1000,Entrepreneur individuel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2110,Indivision entre personnes physiques
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2120,Indivision avec personne morale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2210,Société créée de fait entre personnes physiques
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2220,Société créée de fait avec personne morale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2310,Société en participation entre personnes physiques
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2320,Société en participation avec personne morale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2385,Société en participation de professions libérales
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2400,Fiducie
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2700,Paroisse hors zone concordataire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,2900,Autre groupement de droit privé non doté de la personnalité morale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3110,Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3120,Société commerciale étrangère immatriculée au RCS
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3205,Organisation internationale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3210,"État, collectivité ou établissement public étranger"
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3220,Société étrangère non immatriculée au RCS
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,3290,Autre personne morale de droit étranger
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4110,Établissement public national à caractère industriel ou commercial doté d'un comptable public
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4120,Établissement public national à caractère industriel ou commercial non doté d'un comptable public
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4130,Exploitant public
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4140,Établissement public local à caractère industriel ou commercial
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4150,Régie d'une collectivité locale à caractère industriel ou commercial
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,4160,Institution Banque de France
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5191,Société de caution mutuelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5192,Société coopérative de banque populaire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5193,Caisse de crédit maritime mutuel
